post_id,text,num_likes
2929,"Нынче с самого утра
Муж толкнул: «Вставать пора!
Как тебе лежать не лень,
Нынче праздник — женский день!»

Может, думаю, приснилось,
Я в апреле спать ложилась,
И упала на кровать...
Муж опять: «Пора вставать!

Прогоняй свою дремоту,
Через час мне на работу.
Я хочу с тобою встретить
Самый лучший день на свете!»

Я проснулась как-то сразу,
Пережевывая фразу.
Муж, скользнувши за порог,
Прокричал: «Погодь чуток...»

Вот сижу, слегка зажата,
Вспоминая, что за дата,
Жду цветов, латте в постель...
Тут открылась резко дверь,

Муж с порога подлетает
И с ехидством мне вручает
Тряпки, мыло с порошком:
«Зайка, с чистым четвергом!»",2
2928,,0
2927,,2
2926,,1
2925,,0
2924,,1
2923,,0
2922,,0
2921,,0
2919,,0
2918,,2
2913,,1
2912,,0
2911,,1
2903,,0
2902,,1
2901,,3
2900,,2
2898,,2
2895,,2
2892,,0
2890,,1
2887,,2
2884,,1
2882,,0
2880,,0
2877,,0
2876,,1
2869,Всем спасибо за поздравления),7
2868,,1
2867,,2
2866,,1
2865,,2
2860,,2
2858,,3
2857,,1
2856,,0
2853,,0
2852,,0
2849,,1
2848,,8
2847,С праздником🌹🌹🌹,17
2846,,0
2845,,1
2839,,4
2838,,0
2837,,1
2836,,0
2834,,5
2833,,0
2831,,3
2829,,2
2827,,5
2825,,0
2823,,0
2822,"Весеннее настроение🌷🌷🌷
",32
2818,,0
2816,,0
2815,,0
2814,"С праздником, мужчины и сильный пол, женщины😉",22
2811,,5
2809,,0
2806,,2
2804,,2
2799,,3
2795,,2
2793,,2
2790,,1
2788,,1
2784,,2
2780,,2
2776,,0
2775,,0
2774,,1
2773,,0
2772,,1
2769,,1
2768,,0
2765,Хорошо в деревне летом🌞🌞🌞,17
2763,,1
2762,,2
2761,,2
2760,,1
2759,,1
2758,,0
2757,,0
2756,,0
2755,,0
2754,,2
2753,,0
2752,,1
2751,,0
2750,,1
2749,,4
2748,,0
2747,,2
2746,,0
2745,,0
2744,,0
2743,,3
2742,,1
2741,,0
2740,,0
2739,,4
2738,,3
2737,,0
2736,,4
2735,,2
2734,,0
2733,,0
2732,,0
2731,,0
2730,,0
2729,,1
2728,,1
2727,,3
2726,,1
2725,,2
2724,,0
2723,,0
2722,,0
2721,,0
2720,,3
2719,,2
2718,А мне в шесть утра))),0
2717,,5
2716,,1
2715,,1
2714,,0
2713,,2
2712,,0
2711,,0
2710,,4
2709,,1
2708,,4
2707,,2
2706,,4
2705,,36
2704,,1
2703,,1
2702,,0
2701,,0
2700,,0
2699,,0
2698,,1
2697,,2
2696,,3
2695,😂😂😂,0
2694,,0
2693,,2
2692,,0
2691,,3
2690,,0
2689,,2
2688,,1
2687,,0
2686,,3
2685,,0
2684,,1
2683,,3
2682,,2
2681,,2
2680,,0
2679,,1
2678,,0
2677,,0
2676,,1
2675,,3
2674,,3
2673,,1
2672,,1
2671,,0
2670,,0
2669,,0
2665,,1
2664,,0
2662,,2
2660,С Рождеством Христовым!,15
2655,,2
2651,С Новым 2017 годом!,8
2647,,3
2646,,1
2645,,0
2644,,19
2639,Ура!Ура!Ураааа!!!!,10
2636,,2
2635,,0
2634,,2
2633,,3
2632,,1
2631,,3
2630,,2
2629,"Как незаметно время пролетело, 
С календаря срывая по листочку, 
Еще вчера я первый раз несмело 
Брала на руки маленький комочек. 
Еще вчера я первую улыбку 
Ждала, как будто высшую награду… 
И совершить малейшую ошибку 
Боялась я сильней, чем грешник - ада. 
Ещё вчера я новых достижений 
Ждала. Я и теперь их жду 
И каждому бесценному мгновенью 
Я место в своей памяти найду. 
Ещё вчера - совсем-совсем малыш, 
Моей любви три с чем-то килограмма. 
Сегодня - ты навстречу мне бежишь 
И обнимая, говоришь мне «мама»!
С днем рождения , Дашулька😘😘😘",7
2628,,2
2626,,0
2625,,1
2623,,1
2622,,2
2621,,2
2620,,2
2619,,0
2618,,0
2617,,0
2616,,1
2615,,1
2614,,3
2613,,3
2612,,0
2611,,5
2610,,1
2609,,4
2608,,0
2607,,0
2606,,3
2602,,0
2601,,0
2600,,5
2597,,2
2596,,2
2595,,2
2594,,0
2593,,1
2592,,0
2591,,3
2590,,2
2589,,2
2588,,0
2582,,3
2580,,8
2579,,0
2578,,0
2576,,4
2574,,3
2571,,2
2570,,3
2569,,0
2564,,2
2563,,2
2560,,2
2559,,1
2557,,0
2556,,2
2555,😂😂😂,2
2553,,2
2552,,0
2549,,2
2548,,2
2546,,2
2545,,4
2544,,3
2539,,3
2537,,6
2535,,2
2534,,0
2532,,2
2530,,0
2529,,0
2528,,0
2527,,0
2526,,0
2525,,0
2524,,1
2523,,1
2522,,0
2521,"Праздник живота, выходной!!!",5
2519,,2
2518,,5
2517,,0
2516,😂😂😂,1
2515,,2
2514,,4
2513,,0
2512,,1
2511,,3
2510,,1
2509,,2
2508,,0
2507,,0
2506,,0
2505,,1
2504,😂😂😂,2
2503,,1
2502,,1
2501,😂😂😂,2
2500,,3
2499,,3
2498,,3
2497,,1
2496,,0
2495,,0
2491,,38
2490,,126
2487,,43
2486,Воскресный зимний денёк!!!А я превратилась в снегурочку😉!!!,20
2475,,3
2473,,3
2469,,4
2464,,4
2462,,4
2459,,2
2454,,2
2453,,2
2452,,1
2451,,0
2450,,1
2449,,0
2448,,1
2447,,7
2446,,1
2445,,4
2444,,1
2443,,1
2442,,0
2441,,0
2440,,3
2439,,0
2438,,0
2437,,0
2436,,1
2435,,1
2434,Почемучки идут на битву знаний)))),8
2433,,3
2432,,1
2431,,2
2430,,3
2429,,2
2428,,2
2427,Муж встретил с работы)),10
2426,,1
2425,,0
2424,,1
2423,,1
2422,,3
2421,,0
2420,,0
2419,,1
2418,,0
2417,,1
2416,,0
2415,,0
2414,Вызов принят!,11
2413,,2
2412,,2
2411,,2
2410,,2
2409,,1
2408,,0
2407,,0
2406,Готовим ужин))),8
2405,,0
2404,,1
2403,,0
2402,,0
2401,,1
2400,,3
2399,,1
2398,,1
2397,,0
2396,,0
2395,,1
2394,,0
2393,,0
2392,,1
2391,,1
2390,,2
2389,,1
2388,,3
2387,,0
2386,,1
2385,,2
2384,,1
2383,,2
2382,,1
2381,,0
2380,,2
2379,,2
2378,,3
2377,,1
2376,,1
2375,,2
2374,,2
2373,,0
2372,,0
2371,,0
2370,,3
2369,,2
2368,,0
2367,,4
2366,,2
2365,,2
2360,Дети учатся вырезать)))),8
2359,,1
2358,,0
2357,,0
2356,,2
2355,,2
2352,,0
2351,,0
2349,http://vk.com/photo-2286932_432053569,0
2348,,0
2347,,1
2346,,1
2345,,0
2344,,1
2343,,25
2342,,17
2341,,0
2340,,1
2339,,1
2338,,0
2337,,1
2334,,1
2332,,2
2331,,2
2330,,1
2329,,1
2328,,3
2326,,3
2319,,21
2318,,2
2317,,0
2310,"Спят, гуленьки.",17
2309,,2
2307,,1
2305,,5
2304,,2
2303,,1
2302,,1
2301,,2
2300,,2
2299,,4
2298,,4
2297,,1
2296,,0
2295,,0
2294,,0
2293,,0
2292,,0
2291,,2
2290,,0
2288,,2
2287,,1
2286,,5
2285,,2
2284,,3
2283,,2
2280,,3
